Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,47uF,CP_Elec_6.3x7.7,88,-84,270,top
C102,100nF,C_0603_HandSoldering,83,-84,90,top
C103,100pF,C_0603_HandSoldering,80,-84,90,top
C104,47uF,CP_Elec_6.3x7.7,17,-85,270,top
C105,100nF,C_0603_HandSoldering,23,-85,90,top
C106,100pF,C_0603_HandSoldering,25,-85,90,top
C107,47uF,CP_Elec_6.3x7.7,105,-35,270,top
C108,100nF,C_0603_HandSoldering,96.25,-30.75,180,top
C109,100pF,C_0603_HandSoldering,96.25,-28,180,top
D1,SS54,D_SMA_Handsoldering,94.04096,-114.60036,270,top
Q101,MMBT3906,SOT-23_Handsoldering,36,-17,180,top
Q102,MMBT3906,SOT-23_Handsoldering,36,-23,180,top
Q103,MMBT3906,SOT-23_Handsoldering,36,-29,180,top
Q104,MMBT3904,SOT-23_Handsoldering,41,-97,0,top
Q105,MMBT3904,SOT-23_Handsoldering,33,-97,0,top
R101,100,R_0603_HandSoldering,51,-85,90,top
R102,100,R_0603_HandSoldering,55,-85,270,top
R103,1k,R_0603_HandSoldering,95.22714,-98.11004,0,top
R104,100,R_0603_HandSoldering,59,-85,270,top
R105,100,R_0603_HandSoldering,63,-85,270,top
R106,100,R_0603_HandSoldering,82,-15.8,180,top
R107,100,R_0603_HandSoldering,82,-19,180,top
R108,100,R_0603_HandSoldering,82,-22,180,top
R109,100,R_0603_HandSoldering,82,-25,180,top
R110,100,R_0603_HandSoldering,82,-28,180,top
R111,100,R_0603_HandSoldering,82,-31,180,top
R112,100,R_0603_HandSoldering,89.5,-28,180,top
R113,100,R_0603_HandSoldering,89.5,-31,180,top
R114,1k,R_0603_HandSoldering,88.26246,-107.91952,0,top
R115,680R,R_0603_HandSoldering,54,-39,270,top
R116,680R,R_0603_HandSoldering,51,-39,270,top
R117,680R,R_0603_HandSoldering,48,-39,270,top
R118,1k,R_0603_HandSoldering,93.86824,-107.91952,0,top
R119,10k,R_0603_HandSoldering,45,-103,90,top
R120,100k,R_0603_HandSoldering,41.9,-103.01,270,top
R121,1M,R_0603_HandSoldering,38.8,-103,90,top
R122,10k,R_0603_HandSoldering,35.7,-103,90,top
R123,100k,R_0603_HandSoldering,32.6,-103,90,top
R124,1M,R_0603_HandSoldering,29.5,-103,90,top
U101,74HC595,SOIC-16_3.9x9.9mm_Pitch1.27mm,72,-84,180,top
U102,MCP23S17,SOIC-28W_7.5x18.7mm_Pitch1.27mm,37,-86,0,top
U103,74HC595,SOIC-16_3.9x9.9mm_Pitch1.27mm,91,-20,270,top
